Regular sample data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Code,Sample Item Name/Code,Processing type,Construction,Color,Customer,Customer Required Width,Customer Requirement Length(%),Customer Requirement Width(%),Weight B/W,Sample Issue Date,Finishing Date,Loom No,Warpping No,Yard,"After Dryer
 Width(Inch)",Weaving PPI,Dryer Skey(CM),"After Shrinkage 
Skey(CM)","After Shrinkage
 PPI",PPI(+),"After Wash 
Skew(CM)","After Srinkage 
Width(Inch)","Box % 
(Right Hand)","Box % 
(Left Hand)","After Wash 
Width %","After Wash
 Length %","After Wash
 Width(Inch)","After Wash
 PPI",Sample Processing Details,Remarks
X22150,RN100-20R6,Regular Finish,"4216X38
9ring(Nishat,BCI)X9ring(Nishat), 3/1RHT",Dark Indigo#6,Windy Group,,,,,,19/05/2025,406,2505415,105Y,"C:59.8''
F:60.7''",38,15.0cm,11.0cm,45,7,12.0cm,"C:60.1''
F:61.2''",5.25%,-2.26%,0.00%,1.00%,60.1'',46,Singeing + Dryer(5box60°C)+Sanforized,
X22192-1,RN115-32R5,Regular Finish,"4200X43
7ring(Badsha)X10OE(Badsha), 3/1RHT",Indigo*5,Windy Group,,,,,,25/02/2025,308,2502142,145Y,"C:61''
F:62''",42,16.0cm,14.5cm,50,8,15.0cm,"C:61''
F:62''",0.00%,1.42%,-0.81%,-1.40%,60.5'',51,Singeing + Dryer(5box 60°C) + Sanforized,
X22203-2,,Regular Finish,"3906x42
7ring(Badsha)X10oe(Badsha), 3/1 RHT",Indigo #5,Misami Germents/Zara,,,,,,20/06/2025,110,2505434,100Y,"C:62.8''
F:63.5''",42,16.0cm,13.0cm,49,7,16.0cm,"C:63.6''
F:64.2''",3.20%,2.00%,1.50%,1.00%,62.6'',50,Singeing+Dryer(5Box60°C)+Sanforized,
X22235-2,,Regular Finish,"4464x42
7ring(nishat)x7OE(Badsha), 3/1RHT
",Grey#3,Al-Islam Textile,,,,,,31/01/2025,506,2501039,45Y,"C:65.8''
F:66.8''",42,16.5cm,12.5cm,50,8,14.0cm,"C:65.5''
F:66.5''",0.20%,1.40%,-1.60%,0.00%,64.4'',50,Singeing + Dryer(5box 60°C) + Sanforized,
X22237,,Regular-RFD,"4488x42
10siro(BTL)x10OE(Badsha), 3/1RHT",RFD#11,Laila Style,60''--61'',,# +/- (3--4)%,8.80 oz,,09/08/2025,207,2508689,125Y,"C:60.2''
F:61.2''",42,10.0cm,15.0cm,47,5,12.0cm,"C:61.2''
F:62.2''",-0.80%,-2.30%,0.40%,-3.80%,61.5'',48,"Singeing?Dryer(old, 1box)?Sanforized",
X22258-1,,Regular,,,,,,,,,22/04/2025,414,2502170,160Y,"C:60.5''
F:61.5''",40,15.5cm,,,-40,,"C:
F:",,,,,,,Singeing + Dryer(5box60°C)+Sanforized,
X22258-1,,Regular,"3944x40
7ring(Badsha)X7oe(Badsha), 3/1RHT",Indigo#,Natural Denim,,,,,,22/04/2025,414,2502170,160Y,"C:61''
F:62.2''",40,18.0cm,11.0cm,48,8,13.5cm,"C:61.2''
F:62.2''",-0.99%,1.83%,-0.27%,1.00%,60.5'',47,Singeing + Dryer(5box60°C)+Sanforized,
X22258-1,,Rregular Finish,"3944X40
7ring(Nishat)X7oe(Badsha), 3/1RHT",Indigo#,Bitopi Group,,,,,,12/02/2025,407,24111050,114Y,"C:60.7''
F:61.7''",40,17.0cm,12.5cm,47,7,12.5cm,"C:61''
F:62''",-0.30%,-1.10%,-0.30%,0.00%,60.8'',47,Singeing+Dryer(5Box60°C)+Sanforized,
"X22258-1
X25134",,Padding,,,,,,,,,24/06/2025,606,2506520,120Y,"C:64.8''
F:65.8''",40,15.5cm,14.0cm,44,4,13.0cm,"C:64.8''
F:65.5''",0.28%,0.00%,1.20%,2.50%,64.0'',46,Black padding (140GPL) + Sanforized,
X22267-2,,Regular Finish,"4216x40
9ring(Nishat)X10oe(Badsha)+10ring(Nishat), 2:1, 3/1RHT",Grey#03,SF Denim / C&A,,,,,,01/06/2025,516,2505475,130Y,"C:60''
F:60.8''",40,16.0cm,12.0cm,47,7,14.0cm,"C:60.5''
F:61''",0.28%,0.00%,0.00%,0.00%,60.5'',47,Singeing + Dryer(5box60°C)+Sanforized,
X22283-1,,Regular,"4800X45
16ring(Indigo:16, White:16)(Badsha) X 16OE(XDD), 2/1RHT stripe",Indigo#5,Windy Group,,,,,,27/02/2025,111,2502157,100Y,"C:57''
F:57.5''",45,10.0cm,8.5cm,52,7,8.0cm,"C:57.6''
F:58.3''",-0.13%,-1.04%,-1.04%,0.00%,58.2'',52,singeing + Dryer(5Box 60°C) + Sanforized,
X22283-2,,Regular ,"4800X45
16ring(Indigo:16, White:16)(Badsha) X 16ring(Badsha), 2/1RHT stripe",Indiog#5,Windy Group,,,,,,27/02/2025,111,2502157,100Y,"C:56.2''
F:57.2''",45,10.0cm,8.5cm,52,7,9.0cm,"C:57''
F:57.8''",-0.42%,-2.16%,-1.70%,-1.20%,58.0'',53,singeing + Dryer(5Box 60°C) + Sanforized,
X22287-2,,Regular Finish,"4752x48
10rsl(nishat)x16-40D(NS)+16-70D(Nishat) 2:1,  3/1RHT",Indigo #5,Dreuss Worldwide,,,,,,29/07/2025,205,2507655,60Y,"C:58''
F:59''",48,16.0cm,11.0cm,56,8,11.0cm,"C:57.2''
F:58.2''",-1.50%,1.20%,-23.00%,-1.40%,44.0'',57,Singeing?Dryer(5box 60°C)?Sanforized,
X22301-1,,Reguler Finish,"4464X36
8ring X 10oe(Badsha)3/1RHT",Indigo#5,H&F,,,,,,29/05/2020,510,2504344,100Y,"C:64.8''
F:65.8''",36,14.5cm,15.0cm,43,7,15.0cm,"C:64.8''
F:65.5''",0.71%,0.99%,1.08%,0.00%,64.1'',43,Singeing + Dryer(5box60°C)+Sanforized,
X22301-2,,Regular,"4464X36
8ring X 9oe(Badsha)3/1RHT",Indigo#5,H&F,,,,,,24/04/2025,107,2504319,150Y,"C:64.2''
F:65.2''",35,15.0cm,15.0cm,42,7,15.0cm,"C:64.8''
F:65.8''",0.14%,-0.42%,0.30%,0.00%,64.6'',42,Singeing + Dryer(5box60°C)+Sanforized,
X22330-2,RNPS105-14R8D,Regular Finish,"4968X53
10rsl(yt-233)(Nishat)+10rsl(yt-199)Nishat(1:1)  X 16-40D T/Raw(Xuzhou)+16-70D T/Raw(Chanzhou)1:1, 3/1RHT",Blue Black#8D,Natural Indigo,,,,,,17/03/2025,218,2503235,198Y,"C:61.2''
F:62.2''",53,15.5cm,10.5cm,63,10,9.5cm,"C:57.8''
F:58.7''",-1.05%,-2.40%,13.50%,0.00%,48.8'',63,Singeing + Dryer(5box60°C)+Sanforized,
X23062,RN120-13R9S,Regular Finish,"4120x39
8ring(Nishat)+6oe(Badsha), 3/1RHT",Black #9S,Cutting EDGE,,,,,,16/01/2025,607,2501020,150Y,"C:64''
F:64.5''",39,14.0cm,13.0cm,46,7,12.5cm,"C:64''
F:64.5''",-1.70%,-0.71%,-1.40%,0.00%,63.1'',46,Singeing + Dryer(5box 60°C) + Sanforized,
X23076-2,,Regular(Natural),,,,,,,,,21/03/2025,105,2503250,110Y,"C:61.2''
F:62.8''",52,15.0cm,14.5cm,59,7,15.5cm,"C:61.8''
F:62.8''",0.43%,0.28%,1.29%,-3.60%,61.0'',61,Singeing + Dryer(5box60°C)+Sanforized(Old),
X23077,,Regular Finish,"4216X35
7ring(Badsha)X10oe(Badsha), 3/1RHT",Black(#9L),Windy Group,,,,,,26/02/2025,506,2502167,174Y,"C:61.5''
F:62.2''",35,16.0cm,14.5cm,43,8,15.0cm,"C:61.6''
F:62.6''",-1.54%,2.12%,0.97%,0.00%,61.0'',43,Singeing + Dryer(5box 60°C) + Sanforized,
X23087,RN105-18R6,Regular,"4347x40
9ring(Badsha)x8OE(Badsha), 3/1RHT",Dark Indigo*6,TM Group,,,,,,08/02/2025,412,2502103,158Y,"C:64''
F:64.8''",40,18.0cm,13.5cm,47,7,12.5cm,"C:64''
F:65''",-1.40%,0.20%,-0.40%,-0.80%,63.8'',47,Singeing +  Dryer( 5 Box 60°C) + Sanforized,
X23090-1,PR105-08R5,Regular Finish,"4464x43
9oe(Badsha)X9oe(Badsha), 3/1RHT",Indigo#5,Windy Group,,,,,,13/05/2025,319,2505399,153Y,"C:64''
F:64.8''",43,15.0cm,13.0cm,51,8,13.0cm,"C:64''
F:65''",2.21%,-0.71%,-1.25%,1.00%,65.2'',50,Singeing + Dryer(5box60°C)+Sanforized,
X23135,,Regular(Face down),"4216X40
9ring(Milon)X10OE(Badsha), Herringbone",Dark Indigo#6,TM Group,,,,,,20/04/2025,222,2502109,203Y,"C:60''
F:61''",40,0.0cm,0.0cm,47,7,2.0cm,"C:60.3''
F:61.3''",0.56%,42.00%,0.99%,1.00%,59.7'',46,Singeing + Dryer(5box60°C)+Sanforized,
X23163-2,,RFD,,,,,,,,,16/04/2025,513,2503251,80Y,"C:62.2''
F:63.4''",42,12.0cm,12.0cm,46,4,15.5cm,"C:63''
F:64''",3.90%,0.86%,-1.90%,-3.00%,61.8'',47,Singeing + Dryer+Sanforized,
X23163-2,,RFD,"3564X42
7oe(Badsha)X8oe(Badsha),3/1RHT",RFD#11,Florance Group,,,,,,21/03/2025,513,2503251,80Y,"C:62.5''
F:63.4''",42,12.0cm,14.5cm,47,5,15.0cm,"C:62.4''
F:63.7''",-2.31%,2.30%,1.74%,-1.50%,61.8'',48,Singeing +Dryer + Sanforized(old),
X23174-1,,Regular Finish,"4464x40
10oe low TM x 10oe
Salek        BCI, Badsha,",Dark Indigo#6,Natural Denim,,,,,,27/07/2025,308,2507642,175Y,"C:63.8''
F:64.8''",40,17.5cm,15.0cm,47,7,15.0cm,"C:64.2''
F:64.8''",0.00%,-1.38%,-0.40%,1.80%,63.9'',46,Singeing + Dryer(5box 60°C ) + Sanforized(New M/C),
X23204,PRPS110-02R5,Regular Finish,"4176x44
7oeX16-40D(T/Raw, Xuzhou), 3/1RHT",Indigo #5,C&A,,,,,,16/06/2025,311,2505481,307Y,"C:61.5''
F:62.7''",44,16.0cm,13.0cm,51,7,13.5cm,"C:60.2''
F:61",-1.64%,0.00%,12.70%,0.00%,52.5'',51,Singeing + Dryer(5box60°C)+Sanforized,
X23246,,Regular,"4320x40
7siro low TM-3.8 x 9oe(Badsha), 3/1RHT",Indigo#5,Testing,,,,,,24/04/2025,310,2504327,85Y,"C:64.5''
F:65.2''",40,16.5cm,15.0cm,47,7,14.0cm,"C:65.1''
F:66''",1.28%,-2.13%,0.30%,0.00%,64.6'',47,Singeing + Dryer(5box60°C)+Sanforized,
X23246,,,"4320x40
7siro low TM-3.8 x 9oe(BCI, Badsha), 3/1RHT",Indigo #5,Aba Group,,,,,,04/07/2025,105,2504327,160Y,"C:64.5''
F:65.2''",40,19.0cm,13.0cm,48,8,13.0cm,"C:64.5''
F:65.5''",0.83%,-1.10%,-0.40%,2.00%,64.5'',46,singeing + Dryer(5Box 60°C) + Sanforized,
X23250,,Padding,,,,,,,,,18/06/2025,607,2506494,120Y,"C:62.8''
F:63.7''",43,14.0cm,15.0cm,48,5,14.5cm,"C:64''
F:64.8''",-0.15%,0.15%,0.00%,1.40%,64.0'',48,Singeing   + Dryer(Padding 140GPL) +  Sanforized,
X23255-2,,Regular Finish,,,,,,,,,14/01/2025,306,2501037,155Y,"C:65''
F:65.9''",35,17.0cm,15.5cm,42,7,15.0cm,"C:65''
F:65.8''",-1.69%,2.69%,0.79%,0.00%,64.5'',42,Singeing + Dryer(5box 60°C) + Sanforized,
X23270,,Regular,"5184x54
12OE(Badsha) X 20-70D T/Raw(Poly/Raw)Xuzhou + 12-40D T/Raw(poly/Raw, laycra)changzhou",Dark Indigo#6,Seaview Dresse,,,,,,04/03/2025,123,2503183,156Y,"C:59''
F:59.7''",54,15.0cm,10.5cm,62,8,10.5cm,"C:55.1
F:56''",-3.00%,3.00%,-18.60%,-0.50%,44.8'',62,Singeing + Dryer(5Box 60°C) + Sanforized,
X23271,,Regular Finish,"5184x54
12oe(Badsha)X20-40D T/Black(Xuzhou)+20-70D T/Black(Changzhou) 1:1, 3/1RHT",Black#9S,C&A,,,,,,20/01/2025,310,2501054,125Y,"C:60''
F:60.8''",54,16.5cm,12.5cm,63,9,10.5cm,"C:56.5''
F:57''",-1.62%,2.00%,-16.80%,0.00%,47.0'',63,Singeing + Dryer(5box 60°C) + Sanforized,
X23282,RN060-05R5,Regular Finish,"5275x45
20rn(nishat)x16rn(Nishat), 2/1RHT",Indigo #5,Shahi / C&A,,,,,,29/06/2025,604,2506542,150Y,"C:63.3'
F:64''",45,10.0cm,7.0cm,51,6,9.0cm,"C:63.8""
F:64.6""",-1.28%,-1.28%,0.30%,1.00%,63.8'',52,Regular Finish,
X23282,RN060-05R5,Regular Finish,"5275x45
20rn(nishat)x16rn(Nishat), 2/1RHT",Indigo #5,SQUARE Denim,,,,,,30/05/2025,508,2505448,10Y,"C:63.2''
F:64''",45,12.0cm,8.5cm,51,6,8.5cm,"C:63.2''
F:64''",-0.70%,1.82%,1.26%,0.00%,64.0'',51,"Singeing + Dryer(2box60°C)+Sanforized
Twill Up/Face Up",
X23282,RN06005R5,Regular,"5275x45
20rn(nishat)x16rn(Nishat), 2/1RHT",Indigo #5,Shahi Textile,,,,,,10/08/2025,321,2508699,307Y,"C:62.2''
F:62.7''",45,10.0cm,8.5cm,51,6,8.5cm,"C:63''
F:64''",0.40%,0.10%,1.20%,-1.40%,63.8'',51,Singeing?Dryer(2Box 60°C)?Sanforized(Twill Up),
X23297,PR100-05R6,Regular Finish,"4464X40
9oe(Badsha, BCI) X 10oe(Badsha), 3/1RHT",Dark Indigo#6,MKT,,,,,,17/03/2025,105,253234,200Y,"C:64''
F:64.7''",40,17.0cm,12.5cm,47,7,15.0cm,"C:64''
F:65''",3.80%,0.00%,1.56%,-1.00%,63.0'',48,Singeing + Dryer(5box60°C)+Sanforized,
X23301-2,,Regular Finish,"4176x43
7oe Low TM(Badsha)X10OE(Badsha), 3/1RHT",Indigo#5,MKT,,,,,,14/03/2025,613,2503230,95Y,"C:64''
F:65''",43,16.5cm,13.5cm,51,8,16.5cm,"C:64.8''
F:65.5''",-0.50%,3.70%,-2.00%,3.00%,63.2'',49,Singeing + Dryer(5box60°C)+Sanforized,
X23305,,Regular Finish(natural),"3564x40
7oe(Badsha)x8oe(Badsha), 3/1RHT",Natural #1,Natural Indigo/Mango,,,,,,17/12/2024,305,2410974,98Y,"C:62.5''
F:63''",40,17.0cm,15.5cm,47,7,15.0cm,"C:63''
F:63.7''",-1.29%,0.57%,-3.17%,-0.50%,61.0'',47,Singeing + Dryer ( 5box ) + Sanforized,
X24002-3,,Regular,"4644x40
7.5ring Low TM 3.8(Nishat)X8oe(BCI, Badsha), 3/1RHT",indigo#5,MKT,,,,,,07/08/2025,Issue date,,,,,,,,0,,,,,,,,,,
X24015,,Reguler Finish,,,,,,,,,28/05/2025,222,2504357,264Y,"C:62.2""
F:63""",44,17.0cm,11.0cm,52,8,12.5cm,"C:63''
F:63.8""",1.42%,0.42%,0.62%,-1.00%,62.6'',53,Singeing + Dryer(5box60°C)+Sanforized,
X24015,,Regular Finish,,,,,,,,,11/04/2025,219,2503205,70Y,"C:58.2''
F:59''",44,14.0cm,13.5cm,51,7,11.0cm,"C:59''
F:59.6''",-0.70%,-1.10%,0.30%,-1.00%,59.2'',51,"Singeing + Dryer(5box60°C)+Sanforized(Face down), Dobby",
X24016-2,,RFD,"4968x39
10oe(Badsha)X8oe(Badsha), 3/1RHT",RFD#11,Natural Indigo,,,,,,14/05/2025,412,2505385,120Y,"C:66''
F:67''",39,12.0cm,11.0cm,44,5,12.0cm,"C:66.5''
F:67.5''",-1.89%,2.17%,-1.20%,-4.60%,65.7'',46,Singeing + Dryer + Sanforized,
X24033,,Regular Finish,"4176x43
8oe(Badsha)x9oe(Basha), 3/1 RHT",Indigo #5,Windy,,,,,,17/06/2025,606,2506487,150Y,"C:58''
F:59''",49,16.5cm,11.5cm,50,1,14.5cm,"C:58.5''
F:59.2''",1.12%,0.00%,11.00%,0.00%,57.8'',50,Singeing + Dryer(5box 60°C) + Sanforized,
X24048,,Rregular Finish,"4600X45
10ring slub(yt-199)Nishat X 10oe(Badsha)X10rsl(yt-199)Nisht(2:1), 3/1RHT",Indigo#5,Echotex,,,,,,18/02/2025,311,2404432,118Y,"C:60.4''
F:61.4''",45,17.0cm,10.0cm,53,8,12.0cm,"C:60.8''
F:61.7''",0.70%,2.53%,1.15%,0.00%,60.1'',53,Singeing+Dryer(5Box60°C)+Sanforized,
X24056,,Reguler Finish,"4176X38
7rn( Badsha)X10-70D(Nishat), 3/1RHT",Indigo#5,Natural Indigo,,,,,,27/04/2025,210,2502170,100Y,"C:59.2""
F:60.5""",38,13.0cm,11.0cm,45,7,11.0cm,"C:58''
F:59""",0.48%,-1.60%,22.20%,-2.00%,45.1'',45,Singeing + Dryer(5box60°C)+Sanforized,
X24076-2,,Regular Finish,"3726X36
10siro(Badsha)x10siro(Badsha), 1/1 Plain",Dark Indigo,Warptex,,,,,,26/06/2025,617,2504309,35Y,"C:62.5''
F:63.5''",36,0.0cm,0.0cm,42,6,0.0cm,"C:63.5''
F:64.2''",1.42%,6.00%,0.47%,1.30%,63.8'',43,singeing + Dryer(5Box 85°C) + Sanforized,
X24079-2,PRPS110-02R9L,Regular Finish,"4176x44
7oeX16-40D T/Black(Xuzhou), 3/1 RHT",Black#9L,C&A,,,,,,16/06/2025,310,2506482,300Y,"C:62.2''
F:63.5''",44,15.5cm,13.0cm,52,8,14.0cm,"C:60.2''
F:61.2''",1.40%,0.00%,12.40%,0.00%,52.7'',52,Singeing + Dryer(5box60°C)+Sanforized,
X24079-2,,Rregular Finish,"4176x44
7oe(Badsha)x16-40D T/Black (Changzhou), 3/1RHT",Black(#9L),Natural Indigo,,,,,,18/02/2025,207,2407725,62Y,"C:62.5''
F:63.7''",44,17.0cm,12.0cm,53,9,14.0cm,"C:60.8''
F:61.8''",1.96%,1.50%,12.80%,0.00%,53.0'',53,Singeing+Dryer(5Box60°C)+Sanforized,
X24089-3,,Regular Finish,"3906x35
7siro Low TM 3.8(Nishat)X6ring(Nishat), 3/1RHT",Indigo#5,Zara Windy Group,,,,,,31/01/2025,608,2407678,205Y,"C:65''
F:66''",35,17.5cm,13.5cm,42,7,12.0cm,"C:64.4''
F:65.4''",2.10%,-3.50%,-0.60%,-0.20%,64.0'',42,Singeing + Dryer(5box 60°C) + Sanforized,
X24092-2,,Natural,"4464x45
7rsl(nishat)+7oe(Badsha), 2:8 x 10-70D N.S(BCI, Nishat), 3/1RHT",Natural#1,Sainsbury,,,,,,27/06/2025,406,2506534,130Y,"C:61.8'
F:62.8'",45,15.5cm,12.0cm,53,8,12.0cm,"C:60.8''
F:61.7'",1.57%,0.47%,21.30%,1.00%,47.8'',54,Dryer(Old) cool water ,
X24102,,Natural,"4216x35
7rn(Nishat)x10oe(Badsha), 3/1RHT",Natural #01,H&F,,,,,,27/06/2025,320,2506532,120Y,"C:62.4''
F:63.2'",35,15.5cm,13.5cm,43,8,15.0cm,"C:63""
F:63.8""",4.00%,0.72%,2.20%,2.30%,61.6'',44,Dryer(Old) cool water ,
X24106,,Regular,"6840x60
20ring compact(Nishat) X 20ring compact(Nishat)",Dark Indigo#6,MKT,,,,,,06/08/2025,321,2505427,200Y,"C:65''
F:65.8''",60,15.0cm,13.5cm,69,9,13.5cm,"C:65.5''
F:66.1''",-0.56%,0.00%,0.40%,1.00%,65.2'',68,Singeing?Dryer(5box 60°C)?Sanforized,
X24108-3,,Regular Finish,"4752x50
10ring(Nishat) X 16-40D N.S(Badsha) + 16-70D N.S(Sunray)2:1, 3/1 RHT",Dark Indigo#6,MKT,,,,,,09/03/2025,610,2503196,102Y,"C:57''
F:58''",50,14.0cm,11.0cm,59,9,9.5cm,"C:55.2''
F:56.2''",-1.25%,-0.23%,-21.30%,0.00%,43.4'',59,singeing + Dryer(5Box 60°C) + Sanforized,
X24109,,Regular,"6840x60
20rn Compact(Nishat)X20rn Compact(Nishat), 3/1RHT",Dark Indigo#6,Windy Group/ LIDL,,,,,,04/03/2025,121,2502175,125Y,"C:64.6''
F:65.''",60,13.0cm,10.5cm,69,9,14.0cm,"C:65''
F:65.5''",6.00%,0.00%,-1.23%,0.00%,64.2'',69,singeing + Dryer(5Box 60°C) + Sanforized,
X24109,,Regular,"6840x60
20rn Compact(Nishat)X20rn Compact(Nishat), 3/1RHT",Dark indigo#6,Windy Group/ LIDL,,,,,,07/08/2025,Issue date,,,,,,,,0,,,,,,,,,,
X24109,,Regular,"6840x60
20ring compact(Nishat) X 20ring compact(Nishat), 3/1RHT",Dark indigo#7,Windy Group/ LIDL,64''--65'',,# +/-(3--4)%,6.7 oz,,02/08/2025,Issue date,2505427,,,,,,,0,,,,,,,,,Singeing?Dryer(5box 60°C)?Sanforized,
X24120-1,,Reguler Finish,"4025x34
7siro Low TM 3.8(Nishat)X6Tencel(Envoy), 3/1RHT",indigo#5,Windy Group,,,,,,27/04/2025,509,2407678,186Y,"C:65.5""
F:66.5""",34,17.0cm,14.0cm,40,6,17.5cm,"C:64.8''
F:65.8""",0.99%,2.50%,1.50%,1.00%,63.8'',41,Singeing + Dryer(5box60°C)+Sanforized,
X24120-1,,Reguler Finish,"4025x34
7siro low TM 3.8 X 6Tencel(Envoy), 3/1RHT",Indigo #5,MKT,,,,,,10/07/2025,411,2507592,100Y,"C:65.7''
F:66.5''",34,15.5cm,13.0cm,40,6,18.0cm,"C:65.2''
F:66.1''",3.50%,3.30%,-3.30%,0.00%,63.6'',40,Singeing + Dryer(5Box 60°C) + Sanforized,
X24120-1,,Reguler Finish,"4025X34
7siro low TM 3.8(Nishat) X 6Tencel(Envoy), 3/1RHT",Indigo#5,TM Group /Saju,,,,,,23/12/2024,305,2407678,211Y,"C:66''
F:66.7''",34,16.0cm,13.5cm,42,8,16.5cm,"C:65.5''
F:66.2''",1.11%,2.10%,-3.05%,2.00%,63.5'',40,Singeing + Dryer(5box 60°C ) + Sanforized,
X24141,TN115-01R3B,Regular Finish,"3780x35
7siro(Low TM 3.8)Envoy X 6Tencel(Envoy), 3/1RHT",Grey#03,MKT,,,,,,30/05/2025,609,2505466,140Y,"C:65.7''
F:66.5''",35,14.0cm,12.5cm,43,8,17.0cm,"C:64.7''
F:65.4''",3.41%,4.90%,-2.60%,2.00%,63.0'',41,Singeing + Dryer(5box60°C)+Sanforized,
X24144,,Regular Finish,"3888x39
8rn(Nishat, BCI) x 9oe(Badsha)+9rn(Nishat), (2:1), 3/1RHT",Dark Indigo#6,Natural Denim,,,,,,25/05/2025,609,2505444,122Y,"C:62.8''
F:63.4''",39,16.0cm,12.5cm,45,6,15.5cm,"C:60.6''
F:61.6''",4.14%,1.27%,-0.63%,-1.00%,62.6'',46,Singeing + Dryer(5box60°C)+Sanforized,
X24144,,Regular Finish,"3888x39
8rn(Nishat) x 9oe(Badsha)+9rn(Milon), (2:1), 3/1RHT",Dark Indigo#6,Natural Indigo,,,,,,10/02/2025,507,2404384,138Y,"c:61.8""
 F:62.5""",39,18 cm,14.5 cm,45,6,15.5 cm,"c:62.2""
 F:63""",1.20%,1.10%,0.90%,-1.00%,"62.8""",46,Singeing+Dryer(5Box60°C)+Sanforized,
X24145,,Padding,,,,,,,,,28/06/2025,618,2506536,124Y,"C:63.7''
F:64.4'",38,14.0cm,13.5cm,45,7,12.0cm,"C:63.8""
F:64.6""",-1.40%,-0.70%,1.00%,3.00%,48.0'',49,Singeing   + Dryer(Padding 140GPL) +  Sanforized,
X24146,,Regular Finish,,,,,,,,,23/06/2025,111,2506503,57Y,"C:60.5''
F:61.5''",44,16.0cm,13.0cm,51,7,14.0cm,"C:58''
F:59''",-1.60%,2.80%,15.10%,1.60%,50.2'',51,5Box 60°C,
"X241562
Tencel",,Padding,,,,,,,,,28/06/2025,607,2504350,121Y,"C:60.6''
F:61.4'",42,14.5cm,13.0cm,48,6,15.5cm,"C:60""
F:60.8""",3.21%,0.70%,3.30%,1.00%,62.0'',47,Singeing   + Dryer(Padding 140GPL) +  Sanforized,
X24168-1,,Regular Finish,,,,,,,,,18/12/2024,310,24121135,105Y,"C:61''
F:62''",50,18.0cm,14.0cm,57,7,12.0cm,"C:60.8''
F:61.5''",-1.77%,0.40%,-11.02%,-1.00%,54.1'',58,Singeing + Dryer(5box 60°C ) + Sanforized,
X24170-2,RN065-09R5,Regular Finish,,,,,,,,,02/05/2025,321,2505476,504Y,"C:58''
F:58.7''",48,15.5cm,12.0cm,55,7,12.5cm,"C:58.5''
F:59.2''",1.28%,-1.40%,0.50%,-1.40%,58.8'',55,Singeing + Dryer(5box60°C)+Sanforized,
X24170-2,RN065-09R5,Regular,"4896X48
16RN(Nishat)+16rsl(YT-161)Nishat X 16rn(Nishat) + 16oe(Milon)1:1, 3/1RHT",Indigo#5,Warptex,,,,,,20/04/2025,118,2504318,313Y,"C:57.4''
F:58.2''",48,14.0cm,14.0cm,55,7,12.0cm,"C:58''
F:58.9''",-0.70%,-0.28%,-0.34%,-1.50%,58.2'',56,Singeing + Dryer(5box60°C)+Sanforized,
X24187,,Regular Finish,"4464x42
10siro(Badsha)X12oe(Badsha, BCI), 3/1RHT",Natural #1,Windy Group,,,,,,27/06/2025,101,2505453,170Y,"C:64.3''''
F:65'",42,12.5cm,14.5cm,52,10,13.5cm,"C:64.5''
F:65.2''",0.00%,0.00%,-1.50%,-1.50%,63.5'',50,Singeing + Dryer(5box60°C)+Sanforized(Old),
X24188,,Regular Finish,"4464x42
10siro(Badsha)X12oe(Badsha, BCI), 3/1RHT",Black#9L,MKT,,,,,,26/05/2025,617,2505428,125Y,"C:63''
F:64''",42,14.0cm,13.5cm,49,7,16.0cm,"C:63''
F:63.8''",3.25%,2.97%,-0.94%,0.00%,63.2'',49,Singeing + Dryer(5box60°C)+Sanforized,
X24219-1,,Regular Finish,"4464x48
7rsl(Nishat)+8oe(Badsha)6:4 X 12-40D(Nishat) , 3/1RHT",Blue Black(*8D),Sainsbury,,,,,,26/02/2025,103,2502160,188Y,"C:61.8''
F:63''",48,16.5cm,15.0cm,57,9,12.5cm,"C:61''
F:62''",-1.80%,-0.15%,15.50%,1.00%,51.5'',56,Singeing + Dryer(5box 60°C) + Sanforized,
X24230,,Regular-Natural,"4692x44
12oe(Badsha, BCI) X 12oe(Badsha, BCI)",Natural #1,Natural Indigo,60''--61'',,# +/-(3--4)%,8.30 oz,,09/08/2025,109,2508688,100Y,"C:61''
F:62''",44,14.0cm,10.5cm,51,7,11.0cm,"C:61''
F:62''",0.10%,-0.10%,-1.90%,-2.80%,59.8'',52,"Singeing?Dryer(old, 1box)?Sanforized",
X24235-1,,Regular Finish(Face Down),"5508x43
10oe(Badsha)X10oe(Badsha), Dobby",Black #9S,Natural Indigo,,,,,,07/01/2025,118,2410980,107Y,"C:65''
F:66.5''",43,4.5cm,4.5cm,50,7,2.0cm,"C:66''
F:67''",-1.30%,-1.10%,-3.05%,-1.30%,64.0'',51,Singeing + Dryer(5box 60°C) + Sanforized,
X24236,,Regular,"4060x39
7SR(Envoy)X7OE(Badsha), 3/1RHT",Black(#9L),Windy Group,,,,,,20/04/2025,412,24101001,180Y,"C:61.5''
F:62.5'' ",39,15.0cm,12.0cm,42,3,12.0cm,"C:61.1''
F:63''",0.42%,0.56%,0.00%,-1.30%,62.0'',47,Singeing + Dryer(5box60°C)+Sanforized,
